trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
380,False,"{'a': 0.13464496323403716, 'e': 0.07480275735224286}",25,5,33.79012035113796,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
381,False,"{'a': 0.13397173841786694, 'e': 0.07442874356548164}",20,6,5.564988423459346,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
382,False,"{'a': 0.13330187972577764, 'e': 0.07405659984765424}",25,3,-18.70837160722112,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
383,False,"{'a': 0.13263537032714873, 'e': 0.07368631684841596}",20,0,6.218657289185096,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
384,False,"{'a': 0.131972193475513, 'e': 0.07331788526417389}",30,16,-13.600350420528324,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
385,False,"{'a': 0.13131233250813545, 'e': 0.07295129583785302}",25,0,39.04428392658834,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
386,False,"{'a': 0.13065577084559477, 'e': 0.07258653935866376}",20,12,11.294354551792583,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
387,False,"{'a': 0.13000249199136676, 'e': 0.07222360666187043}",25,6,-48.30550791695744,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 1}",1
388,False,"{'a': 0.12935247953140994, 'e': 0.07186248862856108}",20,10,20.177778774271655,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
389,False,"{'a': 0.1287057171337529, 'e': 0.07150317618541828}",20,9,17.955729551955837,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
390,False,"{'a': 0.12806218854808413, 'e': 0.07114566030449118}",25,7,26.01483757325056,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
391,False,"{'a': 0.1274218776053437, 'e': 0.07078993200296872}",25,4,21.800140717597404,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
392,False,"{'a': 0.126784768217317, 'e': 0.07043598234295388}",20,8,6.083427908136927,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
393,False,"{'a': 0.12615084437623042, 'e': 0.07008380243123911}",25,11,27.45608857484747,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
394,False,"{'a': 0.12552009015434926, 'e': 0.06973338341908292}",20,16,8.779604216038202,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.12489248970357751, 'e': 0.0693847165019875}",20,0,-3.484142756251458,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
396,False,"{'a': 0.12426802725505962, 'e': 0.06903779291947756}",20,3,13.713831909079248,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
397,False,"{'a': 0.12364668711878432, 'e': 0.06869260395488018}",30,16,30.05070930093592,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,False,"{'a': 0.12302845368319039, 'e': 0.06834914093510577}",30,13,22.760848967291473,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.12241331141477443, 'e': 0.06800739523043024}",20,0,-15.840940373204987,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
400,False,"{'a': 0.12180124485770058, 'e': 0.0676673582542781}",25,13,21.149128340242637,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.12119223863341207, 'e': 0.0673290214630067}",25,11,25.092286966538207,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.120586277440245, 'e': 0.06699237635569166}",20,11,12.20115392570921,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
403,False,"{'a': 0.11998334605304378, 'e': 0.06665741447391321}",20,13,14.452075389603445,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
404,False,"{'a': 0.11938342932277855, 'e': 0.06632412740154364}",30,0,23.60509815745532,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
405,False,"{'a': 0.11878651217616468, 'e': 0.06599250676453593}",25,15,19.97684802046799,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
406,False,"{'a': 0.11819257961528384, 'e': 0.06566254423071324}",20,0,33.322267521551005,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
407,False,"{'a': 0.11760161671720742, 'e': 0.06533423150955968}",25,12,22.555647628595178,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,False,"{'a': 0.1170136086336214, 'e': 0.06500756035201188}",20,10,-25.745394866413474,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
409,False,"{'a': 0.11642854059045328, 'e': 0.06468252255025182}",20,15,9.686433990804156,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.11584639788750101, 'e': 0.06435910993750056}",20,7,24.75433438138273,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
